gene_id	test_mean	control_mean	pval	padj	foldChange	log2FoldChange
KRTAP4-12	0.01160092807424594	3.8550501156515033e-4	0.02420660323678861	0.08826167208360639	30.092807424593968	4.911346800049964
SOX30	0.009280742459396751	3.8550501156515033e-4	0.012159603408860268	0.054365783973736335	24.074245939675173	4.589418705162601
NTS	0.009280742459396751	3.8550501156515033e-4	0.18975388761526346	0.42662564297375194	24.074245939675173	4.589418705162601
TAC1	0.45011600928074247	0.01927525057825752	3.058865810632577e-48	1.1492993086676766e-45	23.35201856148492	4.545475357575004
MSTN	0.025522041763341066	0.0015420200462606013	0.1244260323626023	0.3083050310279588	16.551044083526683	4.048850323799899
LCE1C	0.08816705336426914	0.006939090208172706	3.0588957040419984e-12	1.3030264999073749e-10	12.705852023717453	3.6674212171638745
S100B	0.0069605568445475635	0.08673862760215882	4.133158013787301e-5	3.97263769092626e-4	0.08024748646558391	-3.6393999853332795
NOTCH2NLB	0.004640371229698376	3.8550501156515033e-4	0.23187460288837344	0.5208357248574171	12.037122969837586	3.5894187051626014
AC008073.3	0.004640371229698376	3.8550501156515033e-4	0.23187460288837344	0.5208357248574171	12.037122969837586	3.5894187051626014
SYN2	0.004640371229698376	3.8550501156515033e-4	0.23187460288837344	0.5208357248574171	12.037122969837586	3.5894187051626014
MUCL3	0.004640371229698376	3.8550501156515033e-4	0.7898720867274905	1	12.037122969837586	3.5894187051626014
PCDH17	0.004640371229698376	3.8550501156515033e-4	0.7898720867274905	1	12.037122969837586	3.5894187051626014
SLC16A10	0.004640371229698376	3.8550501156515033e-4	0.23187460288837344	0.4938002693274337	12.037122969837586	3.5894187051626014
PLEKHG6	0.004640371229698376	3.8550501156515033e-4	0.23187460288837344	0.4938002693274337	12.037122969837586	3.5894187051626014
SLC8A2	0.004640371229698376	3.8550501156515033e-4	0.23187460288837344	0.4938002693274337	12.037122969837586	3.5894187051626014
LCE3E	0.004640371229698376	3.8550501156515033e-4	0.7898720867274905	1	12.037122969837586	3.5894187051626014
GOLT1A	0.004640371229698376	3.8550501156515033e-4	0.23187460288837344	0.5075941386322285	12.037122969837586	3.5894187051626014
NEURL3	0.004640371229698376	3.8550501156515033e-4	0.23187460288837344	0.5075941386322285	12.037122969837586	3.5894187051626014
ANKRD61	0.004640371229698376	3.8550501156515033e-4	0.23187460288837344	0.5075941386322285	12.037122969837586	3.5894187051626014
CEMP1	0.004640371229698376	3.8550501156515033e-4	0.23187460288837344	0.5075941386322285	12.037122969837586	3.5894187051626014
OR10H5	0.004640371229698376	3.8550501156515033e-4	0.23187460288837344	0.5075941386322285	12.037122969837586	3.5894187051626014
AC000093.1	0.004640371229698376	3.8550501156515033e-4	0.23187460288837344	0.5075941386322285	12.037122969837586	3.5894187051626014
C1QL2	0.004640371229698376	3.8550501156515033e-4	0.23187460288837344	0.4997943970447361	12.037122969837586	3.5894187051626014
LTK	0.004640371229698376	3.8550501156515033e-4	0.23187460288837344	0.4997943970447361	12.037122969837586	3.5894187051626014
HOXB7	0.004640371229698376	3.8550501156515033e-4	0.7898720867274905	1	12.037122969837586	3.5894187051626014
GIPC3	0.004640371229698376	3.8550501156515033e-4	0.23187460288837344	0.4997943970447361	12.037122969837586	3.5894187051626014
TM4SF20	0.002320185614849188	0.026214340786430222	0.019104531835640936	0.0723555687853972	0.08850825713115873	-3.498044136087738
DLK1	0.002320185614849188	0.025057825751734774	0.15274308133910797	0.35950293574859526	0.09259325361413527	-3.4329491078658534
TM4SF4	0.002320185614849188	0.02158828064764842	0.04788267572607311	0.15594885640335712	0.10747431223069275	-3.2179362168950028
TMEM89	0.0069605568445475635	7.710100231303007e-4	0.13333767714843028	0.345941380825149	9.02784222737819	3.1743812058837575
DUSP26	0.0069605568445475635	7.710100231303007e-4	0.13333767714843028	0.345941380825149	9.02784222737819	3.1743812058837575
LRRC10B	0.0069605568445475635	7.710100231303007e-4	0.13333767714843028	0.345941380825149	9.02784222737819	3.1743812058837575
HOXC8	0.0069605568445475635	7.710100231303007e-4	0.13333767714843028	0.345941380825149	9.02784222737819	3.1743812058837575
CCL8	0.004640371229698376	0.03970701619121048	0.1613504614961255	0.40201752147233766	0.11686527155182123	-3.097081822020617
PNLIPRP3	0.016241299303944315	0.0019275250578257518	0.0659495580724461	0.19737112491920328	8.42598607888631	3.074845532332843
TEX26	0.009280742459396751	0.001156515034695451	0.07271464027269922	0.20430292878794418	8.024748646558391	3.0044562044414453
ANO1	0.009280742459396751	0.001156515034695451	0.07271464027269922	0.21284852178484798	8.024748646558391	3.0044562044414453
HRK	0.08120649651972157	0.01040863531225906	1.8073456422348005e-4	0.0014472775569213557	7.801838961931769	2.963814219944099
GRIK5	0.002320185614849188	0.017733230531996914	0.1627654094332121	0.3932218128608513	0.13083829315040857	-2.934143250894411
CD70	0.04408352668213457	0.005782575173477255	8.520447459608204e-7	1.280545794565844e-5	7.623511214230471	2.9304556229976684
STEAP4	0.0069605568445475635	0.0520431765612953	0.16727337530639105	0.38523651378737483	0.13374581077597317	-2.902434391167074
VTN	0.002320185614849188	0.017347725520431765	0.1310393566492174	0.3422442536612178	0.1337458107759732	-2.9024343911670734
ADAP1	0.002320185614849188	0.017347725520431765	0.04243299289918165	0.13816637246605087	0.1337458107759732	-2.9024343911670734
SLC6A13	0.013921113689095127	0.0019275250578257518	0.02020496661102388	0.07782584063687017	7.222273781902552	2.8524531109963953
SEPTIN4	0.002320185614849188	0.015034695451040863	0.36961830917646227	0.6729658466195235	0.15432208935689215	-2.695983513699647
MKX	0.002320185614849188	0.015034695451040863	0.36961830917646227	0.6926362147470032	0.15432208935689215	-2.695983513699647
APOL4	0.002320185614849188	0.014649190439475714	0.48403523925331615	0.83055501499751	0.15838319697154718	-2.6585088082809842
FNDC7	0.002320185614849188	3.8550501156515033e-4	0.6977402783465365	1	6.018561484918793	2.5894187051626014
ATP1A2	0.002320185614849188	3.8550501156515033e-4	0.6977402783465365	1	6.018561484918793	2.5894187051626014
FAM177B	0.002320185614849188	3.8550501156515033e-4	0.6977402783465365	1	6.018561484918793	2.5894187051626014
DCDC2C	0.016241299303944315	0.0026985350809560524	4.5526604515815815e-4	0.0032837950517254234	6.018561484918793	2.5894187051626014
RAD51AP2	0.002320185614849188	3.8550501156515033e-4	0.6977402783465365	1	6.018561484918793	2.5894187051626014
DLEC1	0.004640371229698376	7.710100231303007e-4	0.41219578568752724	0.7624890507307288	6.018561484918793	2.5894187051626014
ZNF80	0.002320185614849188	3.8550501156515033e-4	0.6977402783465365	1	6.018561484918793	2.5894187051626014
SLC2A2	0.0069605568445475635	0.001156515034695451	0.2300367464628186	0.5192473364996337	6.018561484918793	2.5894187051626014
CCDC39	0.004640371229698376	7.710100231303007e-4	0.41219578568752724	0.7624890507307288	6.018561484918793	2.5894187051626014
FETUB	0.004640371229698376	7.710100231303007e-4	0.41219578568752724	0.7624890507307288	6.018561484918793	2.5894187051626014
EFCAB9	0.004640371229698376	7.710100231303007e-4	0.41219578568752724	0.7624890507307288	6.018561484918793	2.5894187051626014
RAMP3	0.002320185614849188	3.8550501156515033e-4	0.6977402783465365	1	6.018561484918793	2.5894187051626014
EN2	0.002320185614849188	3.8550501156515033e-4	0.6977402783465365	1	6.018561484918793	2.5894187051626014
KIF12	0.002320185614849188	3.8550501156515033e-4	0.6977402783465365	1	6.018561484918793	2.5894187051626014
APLNR	0.002320185614849188	3.8550501156515033e-4	0.6977402783465365	1	6.018561484918793	2.5894187051626014
NPAS4	0.004640371229698376	7.710100231303007e-4	0.41219578568752724	0.7624890507307288	6.018561484918793	2.5894187051626014
KCNA1	0.004640371229698376	7.710100231303007e-4	0.8746707210459658	1	6.018561484918793	2.5894187051626014
EIF2S3B	0.004640371229698376	7.710100231303007e-4	0.41219578568752724	0.7624890507307288	6.018561484918793	2.5894187051626014
PDE1B	0.002320185614849188	3.8550501156515033e-4	0.6977402783465365	1	6.018561484918793	2.5894187051626014
CILP	0.002320185614849188	3.8550501156515033e-4	0.6977402783465365	1	6.018561484918793	2.5894187051626014
CYP1A1	0.01160092807424594	0.0019275250578257518	0.07555517926572046	0.22530270988832804	6.018561484918793	2.5894187051626014
SH2D7	0.002320185614849188	3.8550501156515033e-4	0.6977402783465365	1	6.018561484918793	2.5894187051626014
CACNA1H	0.002320185614849188	3.8550501156515033e-4	0.6977402783465365	1	6.018561484918793	2.5894187051626014
HSD11B2	0.0069605568445475635	0.001156515034695451	0.2300367464628186	0.5192473364996337	6.018561484918793	2.5894187051626014
GLP2R	0.002320185614849188	3.8550501156515033e-4	0.6977402783465365	1	6.018561484918793	2.5894187051626014
USHBP1	0.002320185614849188	3.8550501156515033e-4	0.6977402783465365	1	6.018561484918793	2.5894187051626014
AL022238.4	0.002320185614849188	3.8550501156515033e-4	0.6977402783465365	1	6.018561484918793	2.5894187051626014
KRTAP20-2	0.002320185614849188	3.8550501156515033e-4	0.6977402783465365	1	6.018561484918793	2.5894187051626014
SETSIP	0.002320185614849188	3.8550501156515033e-4	0.6977402783465365	1	6.018561484918793	2.5894187051626014
GFI1	0.004640371229698376	7.710100231303007e-4	0.41219578568752724	0.7267940197297569	6.018561484918793	2.5894187051626014
HRNR	0.002320185614849188	3.8550501156515033e-4	0.6977402783465365	1	6.018561484918793	2.5894187051626014
LCE4A	0.002320185614849188	3.8550501156515033e-4	0.6977402783465365	1	6.018561484918793	2.5894187051626014
CFHR2	0.002320185614849188	3.8550501156515033e-4	0.6977402783465365	1	6.018561484918793	2.5894187051626014
TRAF3IP3	0.002320185614849188	3.8550501156515033e-4	0.6977402783465365	1	6.018561484918793	2.5894187051626014
ACADL	0.0069605568445475635	0.001156515034695451	0.2300367464628186	0.4928024378175178	6.018561484918793	2.5894187051626014
KIF1A	0.002320185614849188	3.8550501156515033e-4	0.6977402783465365	1	6.018561484918793	2.5894187051626014
MAP6D1	0.002320185614849188	3.8550501156515033e-4	0.6977402783465365	1	6.018561484918793	2.5894187051626014
LRIT3	0.002320185614849188	3.8550501156515033e-4	0.6977402783465365	1	6.018561484918793	2.5894187051626014
AC022414.1	0.002320185614849188	3.8550501156515033e-4	0.6977402783465365	1	6.018561484918793	2.5894187051626014
TSSK1B	0.002320185614849188	3.8550501156515033e-4	0.6977402783465365	1	6.018561484918793	2.5894187051626014
LECT2	0.002320185614849188	3.8550501156515033e-4	0.6977402783465365	1	6.018561484918793	2.5894187051626014
PCDHAC1	0.002320185614849188	3.8550501156515033e-4	0.6977402783465365	1	6.018561484918793	2.5894187051626014
HAVCR2	0.002320185614849188	3.8550501156515033e-4	0.6977402783465365	1	6.018561484918793	2.5894187051626014
NOX3	0.002320185614849188	3.8550501156515033e-4	0.6977402783465365	1	6.018561484918793	2.5894187051626014
SPDYE1	0.002320185614849188	3.8550501156515033e-4	0.6977402783465365	1	6.018561484918793	2.5894187051626014
HEPACAM2	0.002320185614849188	3.8550501156515033e-4	0.6977402783465365	1	6.018561484918793	2.5894187051626014
UNC5D	0.002320185614849188	3.8550501156515033e-4	0.6977402783465365	1	6.018561484918793	2.5894187051626014
INSL4	0.002320185614849188	3.8550501156515033e-4	0.6977402783465365	1	6.018561484918793	2.5894187051626014
CRB2	0.002320185614849188	3.8550501156515033e-4	0.6977402783465365	1	6.018561484918793	2.5894187051626014
WDR38	0.002320185614849188	3.8550501156515033e-4	0.6977402783465365	1	6.018561484918793	2.5894187051626014
THRSP	0.002320185614849188	3.8550501156515033e-4	0.6977402783465365	1	6.018561484918793	2.5894187051626014
MRLN	0.0069605568445475635	0.001156515034695451	0.2300367464628186	0.4928024378175178	6.018561484918793	2.5894187051626014
CTNNA3	0.002320185614849188	3.8550501156515033e-4	0.6977402783465365	1	6.018561484918793	2.5894187051626014
TSHR	0.002320185614849188	3.8550501156515033e-4	0.6977402783465365	1	6.018561484918793	2.5894187051626014
FSD2	0.009280742459396751	0.0015420200462606013	0.1244260323626023	0.3083050310279588	6.018561484918793	2.5894187051626014
